                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3145,                0.72555,                 1.0034,                0.71131,                 0.6345,                0.66072,                0.42274,                 1.6799,                 1.0914,                 1.1128,             0.00027508,             0.00027508,             0.00027508
                     36,                 1.3075,                0.71754,                0.99825,                0.79837,                0.61669,                0.66806,                0.44242,                 1.6204,                 1.0251,                 1.0765,                0.00027,                0.00027,                0.00027
                     37,                 1.2876,                0.69305,                0.99349,                0.76949,                0.62577,                0.65177,                0.43231,                 1.6327,                 1.1414,                 1.0991,             0.00026483,             0.00026483,             0.00026483
                     38,                 1.2946,                0.69475,                0.99201,                0.73332,                0.63498,                0.65817,                0.43432,                 1.6581,                 1.0111,                 1.1009,             0.00025959,             0.00025959,             0.00025959
                     39,                 1.2892,                0.68372,                0.99479,                 0.7981,                 0.6249,                0.67084,                 0.4422,                 1.6586,                 1.0435,                 1.0931,             0.00025427,             0.00025427,             0.00025427
                     40,                 1.2771,                0.67776,                0.99631,                0.74081,                0.64205,                0.67467,                0.44292,                 1.7306,                 1.0878,                 1.1252,             0.00024889,             0.00024889,             0.00024889
                     41,                 1.2791,                 0.6752,                0.99051,                0.74868,                0.65733,                0.67183,                0.44044,                 1.6522,                 1.0613,                 1.1028,             0.00024345,             0.00024345,             0.00024345
                     42,                 1.2645,                0.65955,                0.98492,                0.75372,                0.64673,                0.67498,                0.44557,                 1.6569,                0.99733,                 1.1047,             0.00023795,             0.00023795,             0.00023795
                     43,                 1.2791,                0.66134,                0.99133,                0.76236,                0.66124,                0.68127,                0.46873,                 1.6091,                 1.0138,                 1.0884,              0.0002324,              0.0002324,              0.0002324
                     44,                 1.2702,                0.65058,                 0.9844,                0.77786,                0.62613,                0.65743,                0.43742,                  1.641,                 1.0255,                 1.0911,              0.0002268,              0.0002268,              0.0002268
                     45,                   1.26,                0.63846,                0.98133,                 0.7625,                 0.6203,                0.66416,                0.44393,                 1.6499,                 1.0339,                 1.0915,             0.00022117,             0.00022117,             0.00022117
                     46,                 1.2489,                0.63916,                0.97678,                0.74063,                0.63649,                0.66458,                0.43419,                 1.7068,                  1.036,                 1.1266,              0.0002155,              0.0002155,              0.0002155
                     47,                 1.2459,                0.63032,                0.97949,                0.76474,                0.65935,                0.68259,                0.46456,                 1.6018,                0.94733,                 1.0939,              0.0002098,              0.0002098,              0.0002098
                     48,                 1.2429,                0.62602,                0.97007,                0.73118,                0.64788,                0.68826,                0.46712,                 1.6029,                 1.0113,                 1.0823,             0.00020409,             0.00020409,             0.00020409
                     49,                 1.2365,                0.61862,                0.97323,                0.75308,                0.64843,                0.67756,                0.44551,                 1.6952,                 1.0663,                 1.1217,             0.00019835,             0.00019835,             0.00019835
                     50,                  1.233,                0.61799,                0.97211,                0.76627,                0.66082,                0.69253,                0.46822,                 1.5817,                 0.9541,                 1.0756,              0.0001926,              0.0001926,              0.0001926
                     51,                 1.2342,                0.61657,                0.96939,                0.72473,                0.65743,                0.69862,                0.47664,                 1.6374,                 1.0121,                 1.1002,             0.00018685,             0.00018685,             0.00018685
                     52,                 1.2118,                 0.5984,                0.96722,                0.76885,                0.66951,                0.69984,                0.46779,                 1.6209,                0.97043,                 1.0937,              0.0001811,              0.0001811,              0.0001811
                     53,                 1.2068,                0.59312,                0.96868,                0.80644,                0.65788,                0.69801,                0.46169,                 1.6097,                0.94223,                  1.101,             0.00017535,             0.00017535,             0.00017535
                     54,                 1.2071,                 0.5882,                0.96378,                0.80833,                 0.6686,                0.71553,                0.47354,                 1.6334,                0.94807,                 1.1041,             0.00016961,             0.00016961,             0.00016961
                     55,                 1.2088,                0.58639,                0.96323,                0.78705,                0.70075,                0.70759,                 0.4821,                 1.5688,                0.93749,                 1.0854,              0.0001639,              0.0001639,              0.0001639
                     56,                 1.1866,                0.57528,                0.95821,                0.79797,                  0.684,                0.71457,                0.49809,                 1.5662,                0.96889,                 1.0757,              0.0001582,              0.0001582,              0.0001582
                     57,                 1.1917,                 0.5737,                0.95638,                0.78754,                0.64892,                0.70859,                 0.4825,                 1.5767,                0.98042,                 1.0752,             0.00015253,             0.00015253,             0.00015253
                     58,                 1.1763,                 0.5664,                 0.9529,                0.85069,                0.64805,                0.70817,                0.48574,                 1.5615,                0.91505,                 1.0709,              0.0001469,              0.0001469,              0.0001469
                     59,                 1.1825,                0.56765,                0.95862,                0.80973,                0.66711,                 0.7054,                0.48244,                 1.5461,                0.92193,                 1.0784,              0.0001413,              0.0001413,              0.0001413
                     60,                  1.181,                0.56512,                0.95523,                0.79952,                0.65296,                0.69796,                0.48213,                 1.5654,                0.92579,                 1.0746,             0.00013575,             0.00013575,             0.00013575
                     61,                  1.166,                0.55373,                0.94796,                0.79744,                0.66357,                0.70962,                 0.4854,                 1.5608,                0.94042,                 1.0824,             0.00013025,             0.00013025,             0.00013025
                     62,                 1.1669,                0.55311,                0.94673,                0.80008,                0.66665,                 0.6987,                 0.4856,                 1.5564,                0.95445,                 1.0761,             0.00012481,             0.00012481,             0.00012481
                     63,                 1.1566,                0.54568,                0.94579,                0.77587,                0.67119,                0.70262,                 0.4963,                 1.5329,                0.92587,                 1.0687,             0.00011943,             0.00011943,             0.00011943
                     64,                 1.1567,                0.54452,                0.94344,                0.79096,                0.63498,                0.69036,                0.47621,                 1.5809,                0.92528,                 1.0887,             0.00011411,             0.00011411,             0.00011411
                     65,                 1.1549,                 0.5405,                0.94321,                0.83325,                0.65924,                0.71361,                0.49578,                 1.5326,                0.91334,                 1.0701,             0.00010887,             0.00010887,             0.00010887
                     66,                  1.147,                0.53776,                0.94202,                0.73926,                0.67435,                 0.7077,                 0.4909,                 1.5438,                0.91389,                 1.0799,              0.0001037,              0.0001037,              0.0001037
                     67,                 1.1485,                0.53651,                0.94075,                0.80613,                0.68442,                 0.7142,                0.49386,                 1.5408,                0.86829,                 1.0664,             9.8617e-05,             9.8617e-05,             9.8617e-05
                     68,                  1.145,                0.53141,                0.94006,                0.79659,                0.66484,                0.70937,                0.48344,                 1.5763,                0.93587,                 1.0925,             9.3619e-05,             9.3619e-05,             9.3619e-05
                     69,                 1.1256,                0.52395,                0.93586,                 0.8177,                0.67414,                0.71689,                0.49469,                  1.524,                0.85937,                 1.0579,             8.8713e-05,             8.8713e-05,             8.8713e-05
