epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8511.63,1.2677,1.57591,1.74126,0.53658,0.43758,0.41848,0.25571,1.49526,1.23307,1.67527,0.000138125,0.000138125,0.000138125
43,8723.38,1.26406,1.55856,1.73906,0.50886,0.42747,0.42496,0.2559,1.47215,1.25077,1.66213,0.000130254,0.000130254,0.000130254
44,8894.71,1.25567,1.54266,1.73195,0.62118,0.42659,0.43677,0.27014,1.48051,1.22107,1.6494,0.000122496,0.000122496,0.000122496
45,9070.37,1.24478,1.54445,1.73599,0.54977,0.43248,0.40788,0.25124,1.4472,1.19918,1.6325,0.000114867,0.000114867,0.000114867
46,9242.08,1.25129,1.53752,1.72005,0.54889,0.45589,0.44051,0.26878,1.46791,1.18871,1.6494,0.000107384,0.000107384,0.000107384
47,9414.95,1.23737,1.53764,1.71909,0.53593,0.45269,0.42715,0.25977,1.45493,1.21053,1.63394,0.000100061,0.000100061,0.000100061
48,9670.21,1.23419,1.53331,1.72331,0.59196,0.45459,0.43352,0.26184,1.46631,1.18767,1.64429,9.29125e-05,9.29125e-05,9.29125e-05
49,9913.34,1.23499,1.51297,1.71335,0.56614,0.46012,0.43192,0.26293,1.44301,1.18605,1.62785,8.59532e-05,8.59532e-05,8.59532e-05
50,10086.2,1.23068,1.51186,1.70619,0.59636,0.45189,0.43492,0.2697,1.42157,1.18112,1.61157,7.91971e-05,7.91971e-05,7.91971e-05
51,10259.9,1.21935,1.49559,1.69801,0.5323,0.45999,0.43075,0.26614,1.44087,1.17514,1.62743,7.26578e-05,7.26578e-05,7.26578e-05
52,10432.7,1.22458,1.50839,1.70356,0.59772,0.46318,0.43801,0.26311,1.45675,1.17209,1.6353,6.63485e-05,6.63485e-05,6.63485e-05
53,10604.1,1.21191,1.49148,1.6979,0.59288,0.46273,0.44002,0.26624,1.44426,1.17769,1.63444,6.02819e-05,6.02819e-05,6.02819e-05
